datetime,high,low,open ,close,volume
17-08-2017 10:30,4328.69,4291.37,4308.83,4315.32,23.234916
17-08-2017 11:30,4345.45,4309.37,4330.29,4324.35,7.229691
17-08-2017 12:30,4349.99,4287.41,4316.62,4349.99,4.443249
17-08-2017 13:30,4377.85,4333.32,4333.32,4360.69,0.972807
17-08-2017 14:30,4445.78,4360,4360,4444,10.763623
17-08-2017 15:30,4470,4399.81,4441.1,4460,24.865399
17-08-2017 16:30,4485.39,4427.3,4460,4427.3,27.018053
17-08-2017 17:30,4449.56,4411,4436.06,4411,23.032398
17-08-2017 18:30,4459,4411,4411,4459,31.312436
17-08-2017 19:30,4485.39,4435.93,4459,4470.82,51.735897
17-08-2017 20:30,4470.82,4333.42,4470.82,4352.34,68.48127
17-08-2017 21:30,4354.35,4255.3,4352.33,4354.18,67.458791
17-08-2017 22:30,4354.84,4235.45,4354.18,4289.24,59.664912
17-08-2017 23:30,4302.45,4218.68,4289.24,4256.97,51.275163
18-08-2017 00:30,4335.3,4200.74,4241.91,4325.23,46.71085
18-08-2017 01:30,4354.84,4258.56,4307.56,4346.74,48.975472
18-08-2017 02:30,4369.69,4309.23,4346.74,4333.55,61.773036
18-08-2017 03:30,4359.13,4310,4333.55,4336.8,57.376142
18-08-2017 04:30,4337.38,4280.82,4313.39,4285.08,81.645263
18-08-2017 05:30,4340.62,4228.76,4285.08,4286.53,82.435474
18-08-2017 06:30,4269.36,4134.61,4269.36,4243.59,75.684883
18-08-2017 07:30,4298.64,4234,4251.95,4267.59,54.071337
18-08-2017 08:30,4308.7,4234,4244.77,4292.39,64.001349
18-08-2017 09:30,4292.39,4234.43,4292.39,4287.92,50.797515
18-08-2017 10:30,4340.62,4250.04,4287.92,4313.56,64.169286
18-08-2017 11:30,4316.98,4247.75,4313.56,4279.46,64.235424
18-08-2017 12:30,4304.67,4270.48,4279.46,4300.25,69.186804
18-08-2017 13:30,4320.71,4259.85,4285,4282.73,74.829849
18-08-2017 14:30,4327.25,4265.33,4265.33,4304.15,45.653156
18-08-2017 15:30,4371.52,4296.04,4304.15,4356.31,51.563675
18-08-2017 16:30,4357.37,4302.72,4356.31,4340.31,24.093449
18-08-2017 17:30,4340.31,4287.79,4320.52,4331.71,15.118957
18-08-2017 18:30,4318.16,4221.05,4302.97,4293.09,46.533767
18-08-2017 19:30,4293.09,4193.7,4293.09,4259.4,74.368943
18-08-2017 20:30,4259.4,4200,4259.4,4236.89,39.947717
